AIOKOC,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),1.555
AIOKOD,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),1.150
AIOKOF,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),1.960
AIOKOQ,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),2.290
AIOKOR,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),2.400
AIOKOT,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),-
AIOKOU,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),2.440
AIOSRX,THE ROYAL BANK OF SCOTLAND PLC,4.100
AIOSSA,UBS AG,-
AIOSSB,UBS AG,0.980
AIOSWR,WESTPAC BANKING CORPORATION                                 ,-
AIOSZC,RBS ALTERNATIVE INVESTMENTS (AUSTRALIA) PTY LTD,3.680
AIOSZW,RBS ALTERNATIVE INVESTMENTS (AUSTRALIA) PTY LTD,1.070
AIOSZX,RBS ALTERNATIVE INVESTMENTS (AUSTRALIA) PTY LTD,1.970
AIQ,ALTERNATIVE INVESTMENT TRUST,0.115
AIR,ASTIVITA LIMITED,0.105
AIV,ACTIVEX LIMITED,0.035
AIY,AUTHORISED INVESTMENT FUND LIMITED,0.030
AIZ,AIR NEW ZEALAND LIMITED,2.250
AJA,ASTRO JAPAN PROPERTY GROUP,4.960
AJC,ACACIA COAL LIMITED,0.002
AJD,ASIA PACIFIC DATA CENTRE GROUP,1.260
AJJ,ASIAN AMERICAN MEDICAL GROUP LIMITED,0.090
AJL,AJ LUCAS GROUP LIMITED                                      ,0.390
AJM,ALTURA MINING LIMITED,0.023
AJO,ARMSTRONG JONES OFFICE FUND,1.790
AJQ,ARMOUR ENERGY LIMITED,0.045
AJR,ARUNTA RESOURCES LIMITED,0.001
AJX,ALEXIUM INTERNATIONAL GROUP LIMITED,0.630
AJY,ASAPLUS RESOURCES LIMITED,0.240
AKF,ASK FUNDING LIMITED,0.068
AKG,ACADEMIES AUSTRALASIA GROUP LIMITED,0.660
AKK,AUSTIN EXPLORATION LIMITED,0.020
AKM,ASPIRE MINING LIMITED,0.022
AKP,AUDIO PIXELS HOLDINGS LIMITED,8.200
AKY,AUSTRALIAN MASTERS CORPORATE BOND FUND NO 5 LIMITED,19.150
ALA,APPLABS TECHNOLOGIES LTD,0.091
ALF,AUSTRALIAN LEADERS FUND LIMITED,1.230
ALK,ALKANE RESOURCES LIMITED,0.275
ALL,ARISTOCRAT LEISURE LIMITED                                  ,7.650
ALLIOV,CITIWARRANTS (CITIGROUP GLOBAL MARKETS AUS PTY LTD),2.910
